source,target
2,1
3,1
4,1
5,1
6,1
6,2
6,3
6,5
7,1
7,2
7,3
7,4
7,5
7,6
8,1
8,2
9,1
10,1
11,1
11,2
11,4
11,5
11,6
12,1
12,2
12,3
12,4
12,5
13,1
13,2
13,3
13,4
13,5
13,6
13,7
13,12
14,1
14,2
14,4
14,5
14,6
15,1
15,2
15,4
16,1
16,2
16,3
16,4
16,5
16,6
16,7
16,8
16,12
17,0
17,1
18,1
18,2
18,4
18,5
18,6
18,8
18,12
20,1
20,2
20,3
20,4
20,5
20,6
20,7
20,8
20,12
21,1
21,2
21,3
21,4
21,5
21,6
21,7
21,12
22,1
22,2
22,3
22,6
22,11
23,1
23,2
23,4
23,5
23,6
23,7
23,11
23,13
23,14
23,17
24,11
24,14
25,0
25,1
25,2
25,3
25,4
25,5
25,6
25,7
25,9
25,10
25,12
25,14
25,15
25,17
26,1
26,2
26,4
26,5
26,6
26,7
26,11
26,14
27,1
27,2
27,3
27,4
27,8
27,14
27,15
28,1
28,2
28,3
28,4
28,5
28,6
28,7
28,11
28,12
28,14
28,15
29,1
30,1
30,2
30,3
30,5
30,6
30,7
30,8
30,12
30,14
30,20
30,21
31,1
31,6
31,7
31,23
32,1
32,6
32,15
32,19
32,21
33,1
33,2
33,4
33,5
33,6
33,7
33,11
33,12
33,14
33,20
33,21
34,1
34,3
34,9
34,10
34,20
35,1
35,2
35,9
36,1
36,2
36,3
36,4
36,5
36,6
36,7
36,11
36,12
36,13
36,14
36,15
37,1
37,2
37,5
37,7
37,8
37,21
37,22
38,1
38,6
38,11
38,23
38,24
39,0
40,0
40,1
40,6
40,9
40,10
40,17
40,23
40,25
41,1
41,4
41,7
41,13
42,1
42,2
42,3
42,5
42,6
42,7
42,8
42,11
42,12
42,13
42,14
42,15
42,20
42,21
42,27
42,30
42,36
42,37
43,1
43,2
43,6
43,11
43,20
43,38
44,1
44,2
44,3
44,5
44,6
44,7
44,8
44,12
44,13
44,14
44,21
45,1
45,4
45,11
45,15
45,23
45,28
46,1
46,5
46,7
47,1
47,2
47,3
47,4
47,5
47,6
47,7
47,11
47,13
47,23
47,24
47,29
48,1
48,5
48,6
48,10
48,12
48,13
48,20
48,21
48,25
48,30
48,31
48,35
49,1
49,2
49,4
49,5
49,6
49,7
49,8
49,11
49,12
49,13
49,14
49,15
49,16
49,21
49,22
49,23
49,25
49,27
49,31
49,37
49,38
50,1
50,2
50,4
50,12
51,1
51,4
51,5
51,6
51,7
51,8
51,9
51,10
51,11
51,13
51,14
51,16
51,17
51,25
51,26
51,32
51,34
51,35
51,36
51,38
51,40
52,1
52,2
52,4
52,5
52,7
52,12
52,13
52,14
52,31
53,1
53,4
53,5
53,6
53,11
53,21
53,23
53,30
53,43
54,1
54,5
54,7
54,8
54,21
54,22
54,30
54,31
54,37
55,20
56,1
57,1
57,4
57,7
57,24
57,26
57,36
57,38
57,41
57,42
57,43
57,49
57,50
57,53
58,1
58,2
58,5
58,8
58,16
58,27
58,31
58,36
58,38
59,34
60,1
61,1
61,2
61,5
61,6
61,8
61,14
61,15
61,16
61,18
61,20
61,21
61,23
61,25
61,27
61,31
61,36
61,37
61,38
61,41
61,46
61,47
62,1
62,2
62,3
62,5
62,6
62,11
62,12
62,13
62,15
62,26
62,37
62,44
62,45
63,11
63,23
63,24
63,55
64,1
64,47
65,1
65,2
65,8
65,11
65,26
65,44
65,62
66,1
66,2
66,3
66,4
66,5
66,6
66,7
66,8
66,12
66,16
66,20
66,24
66,30
66,37
66,38
66,41
66,47
66,49
67,1
67,6
67,11
67,12
67,14
67,20
67,23
68,1
68,3
68,6
68,8
68,28
68,56
69,1
69,2
69,6
69,7
69,8
69,13
69,15
69,21
69,22
69,36
69,37
69,42
69,43
69,50
70,1
71,1
71,2
71,8
71,44
71,57
72,0
72,1
72,3
72,9
72,10
72,12
72,17
72,25
72,29
72,34
